SampleID,Category
1,3
2,0
3,1
4,4
5,3
6,0
7,1
8,0
9,4
10,2
11,1
12,2
13,4
14,2
15,1
16,3
17,4
18,4
19,4
20,4
21,0
22,0
23,1
24,4
25,3
26,1
27,4
28,3
29,3
30,4
31,1
32,1
33,0
34,1
35,0
36,1
37,3
38,3
39,1
40,0
41,3
42,3
43,0
44,2
45,0
46,0
47,0
48,1
49,4
50,3
51,4
52,4
53,0
54,1
55,1
56,3
57,3
58,0
59,1
60,1
61,0
62,0
63,3
64,0
65,1
66,4
67,4
68,4
69,3
70,4
71,4
72,2
73,1
74,1
75,0
76,0
77,4
78,1
79,2
80,0
81,4
82,0
83,3
84,4
85,4
86,3
87,0
88,1
89,0
90,1
91,3
92,4
93,0
94,3
95,1
96,4
97,1
98,3
99,4
100,1
101,1
102,2
103,4
104,1
105,1
106,4
107,4
108,4
109,1
110,2
111,1
112,3
113,1
114,2
115,4
116,3
117,2
118,3
119,3
120,4
121,3
122,4
123,4
124,0
125,1
126,0
127,4
128,4
129,1
130,1
131,3
132,4
133,3
134,3
135,2
136,3
137,1
138,4
139,4
140,4
141,1
142,3
143,0
144,2
145,2
146,3
147,0
148,2
149,3
150,0
151,4
152,3
153,2
154,2
155,4
156,1
157,0
158,4
159,1
160,0
161,1
162,1
163,0
164,4
165,0
166,3
167,3
168,4
169,2
170,0
171,4
172,3
173,0
174,4
175,2
176,3
177,0
178,2
179,4
180,2
181,3
182,4
183,4
184,4
185,1
186,2
187,4
188,4
189,0
190,4
191,0
192,1
193,1
194,0
195,1
196,3
197,1
198,4
199,3
200,0
201,3
202,4
203,3
204,4
205,3
206,1
207,3
208,4
209,1
210,0
211,0
212,0
213,2
214,4
215,3
216,1
217,0
218,1
219,3
220,2
221,1
222,0
223,4
224,1
225,4
226,4
227,1
228,0
229,3
230,4
231,3
232,0
233,3
234,4
235,1
236,1
237,2
238,3
239,3
240,4
241,4
242,4
243,1
244,3
245,2
246,2
247,0
248,4
249,4
250,1
251,1
252,4
253,2
254,3
255,0
256,3
257,4
258,4
259,0
260,4
261,4
262,4
263,3
264,1
265,0
266,4
267,1
268,1
269,1
270,3
271,4
272,4
273,1
274,3
275,4
276,1
277,3
278,4
279,3
280,1
281,0
282,4
283,0
284,2
285,4
286,3
287,2
288,0
289,4
290,4
291,1
292,4
293,1
294,4
295,3
296,4
297,1
298,1
299,1
300,1
301,4
302,4
303,1
304,0
305,0
306,0
307,2
308,4
309,4
310,2
311,0
312,1
313,2
314,3
315,4
316,4
317,0
318,0
319,2
320,2
321,3
322,1
323,0
324,2
325,4
326,4
327,3
328,1
329,1
330,0
331,1
332,4
333,1
334,1
335,1
336,2
337,1
338,2
339,1
340,4
341,3
342,3
343,4
344,4
345,1
346,0
347,3
348,1
349,0
350,2
351,1
352,1
353,2
354,0
355,2
356,1
357,1
358,4
359,3
360,2
361,4
362,2
363,4
364,4
365,4
366,2
367,4
368,4
369,1
370,1
371,3
372,2
373,4
374,4
375,1
376,0
377,3
378,1
379,4
380,2
381,2
382,4
383,0
384,3
385,3
386,2
387,0
388,3
389,1
390,4
391,4
392,3
393,3
394,3
395,2
396,0
397,3
398,2
399,2
400,2
401,2
402,4
403,3
404,4
405,0
406,0
407,2
408,2
409,1
410,3
411,1
412,0
413,3
414,3
415,3
416,1
417,4
418,4
419,4
420,1
421,3
422,0
423,0
424,4
425,4
426,3
427,0
428,4
429,1
430,1
431,0
432,1
433,2
434,1
435,4
436,1
437,2
438,1
439,0
440,4
441,4
442,3
443,3
444,2
445,1
446,4
447,4
448,0
449,2
450,4
451,0
452,2
453,4
454,0
455,4
456,3
457,1
458,2
459,0
460,0
461,1
462,1
463,3
464,4
465,3
466,2
467,0
468,1
469,2
470,1
471,0
472,1
473,2
474,4
475,3
476,4
477,4
478,0
479,3
480,3
481,4
482,3
483,2
484,4
485,4
486,4
487,3
488,4
489,2
490,3
491,3
492,4
493,2
494,2
495,4
496,2
497,2
498,1
499,3
500,0
501,1
502,4
503,1
504,3
505,4
506,1
507,2
508,3
509,3
510,3
511,2
512,0
513,4
514,0
515,3
516,3
517,0
518,4
519,2
520,3
521,4
522,3
523,2
524,1
525,3
526,4
527,3
528,0
529,0
530,1
531,0
532,3
533,4
534,1
535,1
536,1
537,0
538,0
539,4
540,1
541,2
542,3
543,1
544,1
545,0
546,3
547,3
548,3
549,2
550,0
551,4
552,0
553,2
554,1
555,4
556,3
557,4
558,3
559,3
560,4
561,4
562,0
563,4
564,3
565,3
566,1
567,4
568,0
569,4
570,0
571,0
572,2
573,2
574,0
575,4
576,0
577,4
578,2
579,0
580,4
581,0
582,0
583,1
584,3
585,2
586,4
587,1
588,1
589,1
590,1
591,4
592,1
593,4
594,2
595,3
596,3
597,4
598,1
599,1
600,2
601,2
602,1
603,2
604,4
605,2
606,1
607,4
608,2
609,4
610,1
611,4
612,4
613,2
614,1
615,2
616,0
617,1
618,1
619,3
620,1
621,4
622,3
623,4
624,3
625,1
626,0
627,1
628,1
629,0
630,4
631,4
632,4
633,0
634,1
635,1
636,0
637,1
638,2
639,2
640,1
641,0
642,0
643,1
644,1
645,1
646,0
647,1
648,1
649,0
650,3
651,4
652,1
653,1
654,0
655,3
656,4
657,2
658,4
659,3
660,0
661,0
662,4
663,1
664,3
665,2
666,2
667,0
668,3
669,1
670,2
671,0
672,0
673,4
674,3
675,4
676,4
677,3
678,0
679,1
680,2
681,0
682,2
683,1
684,3
685,0
686,0
687,0
688,1
689,0
690,3
691,3
692,3
693,0
694,4
695,0
696,0
697,3
698,4
699,4
700,4
701,4
702,2
703,4
704,2
705,4
706,0
707,0
708,1
709,2
710,1
711,1
712,4
713,2
714,0
715,1
716,0
717,2
718,4
719,2
720,3
721,0
722,4
723,4
724,0
725,3
726,1
727,4
728,1
729,0
730,0
731,4
732,0
733,1
734,0
735,3
736,2
737,4
738,3
739,3
740,4
741,0
742,4
743,2
744,3
745,4
746,1
747,0
748,2
749,0
750,0
751,0
752,1
753,4
754,2
755,0
756,1
757,1
758,0
759,4
760,1
761,4
762,3
763,3
764,0
765,0
766,4
767,4
768,1
769,4
770,0
771,3
772,4
773,4
774,3
775,3
776,0
777,2
778,1
779,3
780,0
781,1
782,1
783,0
784,3
785,3
786,1
787,4
788,0
789,4
790,2
791,4
792,0
793,2
794,2
795,4
796,2
797,4
798,0
799,4
800,3
801,1
802,4
803,0
804,4
805,0
806,3
807,4
808,3
809,1
810,2
811,1
812,4
813,4
814,0
815,4
816,0
817,1
818,3
819,3
820,1
821,4
822,1
823,1
824,2
825,4
826,2
827,1
828,3
829,0
830,1
831,0
832,2
833,1
834,4
835,2
836,3
837,2
838,1
839,2
840,0
841,4
842,4
843,0
844,2
845,1
846,2
847,4
848,4
849,1
850,2
851,4
852,0
853,4
854,0
855,3
856,3
857,4
858,2
859,2
860,0
861,0
862,3
863,0
864,2
865,4
866,0
867,1
868,3
869,1
870,4
871,1
872,4
873,1
874,0
875,0
876,0
877,2
878,4
879,3
880,4
881,1
882,0
883,4
884,4
885,4
886,0
887,2
888,2
889,0
890,1
891,2
892,1
893,4
894,4
895,3
896,1
897,4
898,4
899,1
900,4
901,3
902,1
903,3
904,2
905,2
906,3
907,2
908,4
909,1
910,3
911,0
912,4
913,4
914,1
915,4
916,3
917,1
918,4
919,1
920,3
921,1
922,0
923,1
924,4
925,4
926,2
927,4
928,4
929,4
930,1
931,1
932,1
933,4
934,1
935,4
936,2
937,3
938,0
939,3
940,2
941,3
942,1
943,1
944,4
945,3
946,0
947,0
948,0
949,0
950,2
951,1
952,1
953,2
954,1
955,1
956,1
957,4
958,0
959,1
960,1
961,0
962,1
963,4
964,4
965,4
966,4
967,0
968,0
969,1
970,0
971,0
972,4
973,0
974,4
975,3
976,3
977,1
978,3
979,4
980,1
981,1
982,4
983,1
984,3
985,1
986,0
987,3
988,0
989,0
990,4
991,2
992,1
993,4
994,4
995,0
996,1
997,3
998,2
999,0
1000,2
1001,1
1002,1
1003,0
1004,1
1005,3
1006,2
1007,1
1008,3
1009,0
1010,0
1011,3
1012,1
1013,0
1014,0
1015,4
1016,0
1017,4
1018,2
1019,1
1020,1
1021,0
1022,1
1023,0
1024,3
1025,0
1026,0
1027,0
1028,0
1029,3
1030,0
1031,0
1032,4
1033,4
1034,4
1035,1
1036,2
1037,2
1038,4
1039,1
1040,0
1041,0
1042,1
1043,3
1044,2
1045,3
1046,1
1047,1
1048,1
1049,0
1050,0
1051,4
1052,3
1053,3
1054,2
1055,2
1056,0
1057,3
1058,1
1059,3
1060,4
1061,3
1062,4
1063,3
1064,0
1065,2
1066,4
1067,1
1068,2
1069,1
1070,2
1071,4
1072,2
1073,2
1074,4
1075,1
1076,4
1077,4
1078,1
1079,4
1080,3
1081,0
1082,4
1083,1
1084,3
1085,4
1086,1
1087,1
1088,1
1089,0
1090,1
1091,2
1092,4
1093,0
1094,4
1095,0
1096,1
1097,1
1098,0
1099,4
1100,4
1101,3
1102,4
1103,3
1104,0
1105,3
1106,1
1107,1
1108,3
1109,4
1110,4
1111,1
1112,2
1113,2
1114,3
1115,2
1116,3
1117,4
1118,2
1119,2
1120,1
1121,2
1122,1
1123,1
1124,3
1125,2
1126,3
1127,3
1128,3
1129,3
1130,1
1131,3
1132,3
1133,4
1134,4
1135,1
1136,4
1137,1
1138,3
1139,3
1140,2
1141,3
1142,4
1143,1
1144,3
1145,0
1146,3
1147,3
1148,0
1149,2
1150,3
1151,3
1152,1
1153,3
1154,3
1155,1
1156,3
1157,1
1158,4
1159,0
1160,3
1161,3
1162,4
1163,1
1164,0
1165,4
1166,1
1167,0
1168,3
1169,3
1170,4
1171,2
1172,4
1173,4
1174,0
1175,0
1176,1
1177,0
1178,2
1179,4
1180,1
1181,2
1182,4
1183,3
1184,4
1185,3
1186,3
1187,3
1188,2
1189,0
1190,4
1191,2
1192,3
1193,4
1194,1
1195,3
1196,1
1197,1
1198,3
1199,4
1200,2
1201,3
1202,4
1203,2
1204,1
1205,4
1206,1
1207,0
1208,1
1209,2
1210,2
1211,4
1212,0
1213,0
1214,3
1215,1
1216,4
1217,4
1218,4
1219,1
1220,1
1221,0
1222,2
1223,1
1224,0
1225,4
1226,3
1227,3
1228,3
1229,4
1230,0
1231,2
1232,3
1233,0
1234,4
1235,3
1236,2
1237,4
1238,4
1239,1
1240,3
1241,4
1242,2
1243,0
1244,0
1245,1
1246,2
1247,0
1248,1
1249,1
1250,1
1251,1
1252,4
1253,1
1254,1
1255,0
1256,0
1257,3
1258,3
1259,2
1260,3
1261,0
1262,0
1263,4
1264,1
1265,1
1266,0
1267,3
1268,1
1269,3
1270,1
1271,3
1272,0
1273,3
1274,3
